lugar_ocurrencia ;presunto_delito;presunta_modalidad;rango_edad;nacionalidad;genero;fecha_infraccion
TUNGURAHUA;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN SEXUAL DE PERSONAS INCLUIDA LA PROSTITUCIÓN FORZADA, EL TURISMO SEXUAL Y LA PORNOGRAFÍA INFANTIL;NNA;COLOMBIANA;FEMENINO;21/03/2024
TUNGURAHUA;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN SEXUAL DE PERSONAS INCLUIDA LA PROSTITUCIÓN FORZADA, EL TURISMO SEXUAL Y LA PORNOGRAFÍA INFANTIL;NNA;COLOMBIANA;FEMENINO;21/03/2024
GUAYAS;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN SEXUAL DE PERSONAS INCLUIDA LA PROSTITUCIÓN FORZADA, EL TURISMO SEXUAL Y LA PORNOGRAFÍA INFANTIL;NNA;ECUATORIANA;FEMENINO;26/03/2024
IMBABURA;COIP. ART. 91 TRATA DE PERSONAS;LA ADOPCIÓN ILEGAL DE NIÑAS, NIÑOS Y ADOLESCENTES;ADULTOS;ECUATORIANA;FEMENINO;28/03/2024
TUNGURAHUA;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN SEXUAL DE PERSONAS INCLUIDA LA PROSTITUCIÓN FORZADA, EL TURISMO SEXUAL Y LA PORNOGRAFÍA INFANTIL;ADULTOS;VENEZOLANA;FEMENINO;11/04/2024
COLOMBIA;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN SEXUAL DE PERSONAS INCLUIDA LA PROSTITUCIÓN FORZADA, EL TURISMO SEXUAL Y LA PORNOGRAFÍA INFANTIL;ADULTOS;COLOMBIANA;FEMENINO;11/04/2024
CHIMBORAZO;COIP. ART. 91 TRATA DE PERSONAS;CUALQUIER OTRA MODALIDAD DE EXPLOTACIÓN;ADULTOS;COLOMBIANA;FEMENINO;21/04/2024
Pichincha;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;MASCULINO;03/05/2024
Cotopaxi;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;FEMENINO;03/05/2024
Cañar;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;FEMENINO;13/05/2024
Manabí;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN LABORAL, INCLUIDO EL TRABAJO FORZOSO, LA SERVIDUMBRE POR DEUDAS Y EL TRABAJO INFANTIL;NNA;VENEZOLANA;FEMENINO;13/05/2024
Manabí;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN LABORAL, INCLUIDO EL TRABAJO FORZOSO, LA SERVIDUMBRE POR DEUDAS Y EL TRABAJO INFANTIL;NNA;VENEZOLANA;FEMENINO;13/05/2024
Manabí;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN LABORAL, INCLUIDO EL TRABAJO FORZOSO, LA SERVIDUMBRE POR DEUDAS Y EL TRABAJO INFANTIL;NNA;VENEZOLANA;MASCULINO;13/05/2024
Manabí;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN LABORAL, INCLUIDO EL TRABAJO FORZOSO, LA SERVIDUMBRE POR DEUDAS Y EL TRABAJO INFANTIL;NNA;VENEZOLANA;FEMENINO;13/05/2024
Manabí;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN LABORAL, INCLUIDO EL TRABAJO FORZOSO, LA SERVIDUMBRE POR DEUDAS Y EL TRABAJO INFANTIL;NNA;ECUATORIANA;FEMENINO;13/05/2024
SANTA ELENA;COIP. ART. 91 TRATA DE PERSONAS;SIN_DATO;NNA;ECUATORIANA;MASCULINO;13/05/2024
El Oro;COIP. ART. 91 TRATA DE PERSONAS;SIN_DATO;NNA;VENEZOLANA;FEMENINO;13/05/2024
El Oro;COIP. ART. 91 TRATA DE PERSONAS;SIN_DATO;NNA;VENEZOLANA;FEMENINO;13/05/2024
Manabí;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN LABORAL, INCLUIDO EL TRABAJO FORZOSO, LA SERVIDUMBRE POR DEUDAS Y EL TRABAJO INFANTIL;NNA;VENEZOLANA;MASCULINO;14/05/2024
El Oro;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN SEXUAL DE PERSONAS INCLUIDA LA PROSTITUCIÓN FORZADA, EL TURISMO SEXUAL Y LA PORNOGRAFÍA INFANTIL;ADULTOS;VENEZOLANA;FEMENINO;14/05/2024
El Oro;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN SEXUAL DE PERSONAS INCLUIDA LA PROSTITUCIÓN FORZADA, EL TURISMO SEXUAL Y LA PORNOGRAFÍA INFANTIL;SIN_DATO;VENEZOLANA;FEMENINO;14/05/2024
Tungurahua;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN SEXUAL DE PERSONAS INCLUIDA LA PROSTITUCIÓN FORZADA, EL TURISMO SEXUAL Y LA PORNOGRAFÍA INFANTIL;ADULTOS;VENEZOLANA;FEMENINO;14/05/2024
SIN_DATO;COIP. ART. 91 TRATA DE PERSONAS;SIN_DATO;ADULTOS;COLOMBIANA;FEMENINO;14/05/2024
Guayas;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN SEXUAL DE PERSONAS INCLUIDA LA PROSTITUCIÓN FORZADA, EL TURISMO SEXUAL Y LA PORNOGRAFÍA INFANTIL;ADULTOS;VENEZOLANA;MASCULINO;15/05/2024
Chimborazo;COIP. ART. 91 TRATA DE PERSONAS;CUALQUIER OTRA MODALIDAD DE EXPLOTACIÓN;ADULTOS;COLOMBIANA;FEMENINO;15/05/2024
LOS RÍOS;COIP. ART. 91 TRATA DE PERSONAS;CUALQUIER OTRA MODALIDAD DE EXPLOTACIÓN;NNA;ECUATORIANA;FEMENINO;15/05/2024
LOS RÍOS;COIP. ART. 91 TRATA DE PERSONAS;CUALQUIER OTRA MODALIDAD DE EXPLOTACIÓN;NNA;ECUATORIANA;MASCULINO;15/05/2024
El Oro;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN SEXUAL DE PERSONAS INCLUIDA LA PROSTITUCIÓN FORZADA, EL TURISMO SEXUAL Y LA PORNOGRAFÍA INFANTIL;ADULTOS;COLOMBIANA;MASCULINO;15/05/2024
Manabí;COIP. ART. 91 TRATA DE PERSONAS;PROMESA DE MATRIMONIO O UNIÓN DE HECHO SERVIL, INCLUIDA LA UNIÓN DE HECHO PRECOZ, ARREGLADA, COMO INDEMNIZACIÓN O TRANSACCIÓN, TEMPORAL O PARA FINES DE PROCREACIÓN;SIN_DATO;COLOMBIANA;FEMENINO;20/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;MASCULINO;21/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;FEMENINO;21/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;21/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;MASCULINO;21/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;21/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;21/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;21/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;FEMENINO;21/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;FEMENINO;21/05/2024
SIN_DATO;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN SEXUAL DE PERSONAS INCLUIDA LA PROSTITUCIÓN FORZADA, EL TURISMO SEXUAL Y LA PORNOGRAFÍA INFANTIL;ADULTOS;ECUATORIANA;FEMENINO;17/05/2024
SIN_DATO;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN SEXUAL DE PERSONAS INCLUIDA LA PROSTITUCIÓN FORZADA, EL TURISMO SEXUAL Y LA PORNOGRAFÍA INFANTIL;NNA;ECUATORIANA;MASCULINO;08/05/2024
SIN_DATO;COIP. ART. 91 TRATA DE PERSONAS;SIN_DATO;SIN_DATO;SIN_DATO;FEMENINO;16/05/2024
Manabí;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN SEXUAL DE PERSONAS INCLUIDA LA PROSTITUCIÓN FORZADA, EL TURISMO SEXUAL Y LA PORNOGRAFÍA INFANTIL;NNA;ECUATORIANA;FEMENINO;09/05/2024
SIN_DATO;COIP. ART. 91 TRATA DE PERSONAS;LA EXPLOTACIÓN SEXUAL DE PERSONAS INCLUIDA LA PROSTITUCIÓN FORZADA, EL TURISMO SEXUAL Y LA PORNOGRAFÍA INFANTIL;NNA;ECUATORIANA;FEMENINO;08/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;MASCULINO;16/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;MASCULINO;16/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;MASCULINO;16/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;MASCULINO;16/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;07/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;10/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;FEMENINO;11/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;MASCULINO;11/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;MASCULINO;11/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;MASCULINO;11/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;MASCULINO;11/05/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;MASCULINO;11/05/2024
